tier,chart,chartId,p1,p1nc,p2,p2nc,file_taps,file_ticks,judged,video,channel,era,footage,how,two_sided,side,p2_video,notes,title
C,Ignis Fatuus(DM Ashura Mix) - SHORT CUT - D21,8E704ED0-711C-44C2-AC8D-AE17C8EACB28,D21,1000,D21,1000,270,151,1000,https://youtu.be/p32HHIkF_OE,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Ignis Fatuus(DM Ashura Mix) - SHORT CUT - D21 (Phoenix Modified ver.)
C,Can-can ~Orpheus in The Party Mix~ - SHORT CUT - D23,0BE86344-BA30-483C-914B-9BE4D04B3CE2,D23,1030,D23,1030,254,188,1030,https://youtu.be/K_-jc0OI6mg,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Can-can ~Orpheus in The Party Mix~ - SHORT CUT - D23 (Phoenix Modified ver.)
C,Leather D22,B1ED5A4B-4A0F-4069-9605-4B2436D6ED88,D22,1450,D22,1450,830,1444,1450,https://youtu.be/7NSEVRpGnG0,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Leather(리더) D22 (Phoenix Modified ver.)
C,Naissance S20,F7232203-55F5-4EC0-AAB7-F4B9A16BDAD1,S20,900,S21,900,363,21,900,https://youtu.be/FlbgoE8L0dE,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate S21,[PUMP IT UP PHOENIX] Naissance (태동) S21 (PNX1 S20)
C,Poseidon - SHORT CUT - D21,9E186F0B-4CA2-4184-816B-4E87094B68A6,D21,1000,D21,1000,388,44,1000,https://youtu.be/y3VaBGQ1v3g,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,,[PUMP IT UP PHOENIX] Poseidon(포세이돈) - SHORT CUT - D21 (Phoenix Modified ver.)
C,Pumptris 8Bit ver. - SHORT CUT - D22,006D4A84-4301-44B9-A04D-A2AC0F5C18AA,D22,1043,D23,1043,346,106,1043,https://youtu.be/mQyzNMQ9Ov4,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D23,[PUMP IT UP PHOENIX] Pumptris 8Bit ver. - SHORT CUT - D23 (PNX1 D22)
C,Chimera S18,4377F1B3-A52F-4A39-8C5E-A8A49497D8D4,S18,1000,S18,1000,508,1047,1000,https://youtu.be/26lAell5CFk,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Chimera(키메라) S18 (Phoenix Modified ver.)
C,Emperor S16,B3CADD3B-4B69-486E-BB96-137D8B18048E,S16,713,S16,713,417,696,713,https://youtu.be/hkJQUdoReOo,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Emperor(엠페러) S12 & S16 (Phoenix Modified ver.)
C,Final Audition Ep. 2-2 S21,B1EA2FE7-E5FE-4510-83D4-3595E4A7736A,S21,1163,S22,1163,561,1253,1163,https://youtu.be/yMzGjdvL-Tk,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,Y,P2 rerate S22,[PUMP IT UP PHOENIX] Final Audition Ep. 2-2 S22 & S23 (PNX1 S21 & PNX1 S22)
C,Poseidon - SHORT CUT - S21,D8F75B9E-BACE-4370-B057-44A1C7930932,S21,1000,S21,1000,389,48,1000,https://youtu.be/9m5buDBg4Q8,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,Right,,,[PUMP IT UP PHOENIX] Poseidon(포세이돈) - SHORT CUT - S18 & S21 (Phoenix Modified ver.)
C,Exceed2 Opening - SHORT CUT - S16,0164FE9B-0D26-4551-9B79-166AF7EE58C0,S16,578,S16,578,139,119,578,https://youtu.be/QAPaDpe5AVM,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Exceed2 Opening - SHORT CUT - S16 (pre S15 → S16 / Phoenix Modified ver.)
C,Switronic - SHORT CUT - S9,5FEE4325-B8ED-4E63-9E8B-16EBE519E100,S9,434,S9,434,171,23,434,https://youtu.be/weSz1C5SvaU,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,Right,,,[PUMP IT UP PHOENIX] Switronic(스위트로닉) - SHORT CUT - S6 & S9 (pre S10 → S9 / Phoenix Modified ver.)
C,Xenesis S18,B6DD8E33-15C3-4EDE-9EB5-677A054DC653,S18,873,S18,873,413,942,873,https://youtu.be/sgaOggiQuAM,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Xenesis(제네시스) S11 & S18 (pre S10 → S11 / Phoenix Modified ver.)
C,Baroque Virus - FULL SONG - S15,84A35520-F96D-4330-9EBB-46923D80ED3D,S15,1300,S15,1300,675,1327,1300,https://youtu.be/OmtOd1Fmezg,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Baroque Virus - FULL SONG - S15 & S18 (pre S16 & S19 / Phoenix Modified ver.)
C,Chase Me S20,A962BE7C-6049-43E8-917B-A07C11608764,S20,1077,S20,1077,608,1047,1077,https://youtu.be/xKaQQImTQig,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Chase Me(체이스 미) S17 & S20 (Phoenix Modified ver.)
C,Death Moon - SHORT CUT - D23,5B13B85D-4541-404E-A0C8-70EF1CBC3FAA,D23,1300,D24,1300,430,173,1300,https://youtu.be/gn0VpL3jrW0,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,Y,P2 rerate D24,"[PUMP IT UP PHOENIX] Death Moon (사월) - SHORT CUT - D24 (PNX1 D23, PRIME2 D22)"
C,Emperor D17,5E1EE9BB-3B1C-47A2-A305-73E564667C7B,D17,708,D17,708,414,674,708,https://youtu.be/rgZKHutbte0,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Emperor(엠페러) D17 (Phoenix Modified ver.)
C,Final Audition 2 - SHORT CUT - S17,64513E9E-FC20-4266-A78B-66193E8DA036,S17,931,S17,,277,149,931,https://youtu.be/Ys-1MMRxwL0,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition 2 - SHORT CUT - S17 (Phoenix Modified ver.)
C,Super Fantasy - SHORT CUT - S19,D2D97633-BC7B-48B8-87C5-920DC1A9769A,S19,829,S20,829,252,127,829,https://youtu.be/Ip9-ro43B1M,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,Y,P2 rerate S20,[PUMP IT UP PHOENIX] Super Fantasy (슈퍼 판타지) - SHORT CUT - S20 (PNX1 S19)
C,Super Fantasy - SHORT CUT - D17,2273595E-6408-4360-B0C0-DABCCFBF114D,D17,831,D18,831,252,129,831,https://youtu.be/OLPN4bvUaDI,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,P2 rerate D18,[PUMP IT UP PHOENIX] Super Fantasy(슈퍼 판타지) - SHORT CUT - D17 (Phoenix Modified ver.)
C,Can-can ~Orpheus in The Party Mix~ - SHORT CUT - D21,DA8A2055-4F36-45C3-B53D-3D87AB6F945F,D21,1000,D21,1000,260,206,1000,https://youtu.be/xhWIYnG5utw,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Can-can ~Orpheus in The Party Mix~ - SHORT CUT - D21 (Phoenix Modified ver.)
C,Can-can ~Orpheus in The Party Mix~ - SHORT CUT - D17,E3627EAC-E2C3-4BE1-9140-2436627806E9,D17,678,D17,678,197,121,678,https://youtu.be/n32Sh0lzypg,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Can-can ~Orpheus in The Party Mix~ - SHORT CUT - D17 (Phoenix Modified ver.)
C,Slam D24,F9CF82A5-D7AC-4EF8-85E4-92E7C7D88870,D24,1004,D24,704,468,4,1004,https://youtu.be/OwpO-gz0apE,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Slam(슬램) D24 (pre D23 → D24 / Phoenix Modified ver.)
C,XX OPENING - SHORT CUT - S6,F066C4BA-531E-4520-8108-83BFAB53F0F3,S6,325,S6,,88,66,325,https://youtu.be/0-ihickoY9M,NEVSISTER,PHOENIX,chart-video,banked,Y,,,,[PUMP IT UP PHOENIX] XX OPENING(XX 오프닝) - SHORT CUT - S3 & S6 (Phoenix Modified ver.)
C,Final Audition 3 - SHORT CUT - D18,4B62092E-F252-4E67-8D87-E3A12656DFCD,D18,981,D18,,361,108,981,https://youtu.be/Q34_Jy78ulk,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition 3 - SHORT CUT - D18 (pre D16 → D18 / Phoenix Modified ver.)
C,Final Audition 3 - SHORT CUT - S18,0B779D61-96F7-4625-93A5-24B0FFC97132,S18,983,S18,983,364,107,983,https://youtu.be/D5zLc3PhQtE,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition 3 - SHORT CUT - S18 (Phoenix Modified ver.)
C,Gun Rock S20,E2C3750C-CB8A-43B5-9305-81BCE2A9AFE9,S20,900,S20,900,424,6,900,https://youtu.be/AMUXSFsvko4,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Gun Rock(건 락) S20 (Phoenix Modified ver.)
C,Bad Apple!! feat. Nomico D20,F961EE5A-EDC7-464B-AF2E-D06082053C6E,D20,1043,D20,1043,408,1171,1043,https://youtu.be/ad6H__2fccI,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Bad Apple!! feat. Nomico D20 (Phoenix Modified ver.)
C,Desaparecer D25,F635E094-20B9-4555-97AE-58FD5C07D95D,D25,1600,D25,,926,1486,1600,https://youtu.be/H4H0IzzK-MQ,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Desaparecer(데사파레세르) D25 (Phoenix Modified ver.)
C,Hyperion - SHORT CUT - S16,F2A444A3-5709-450C-BAF0-0344B3773BBA,S16,793,S16,793,372,20,793,https://youtu.be/DqZwBZ8OjZY,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,,Y,,[PUMP IT UP PHOENIX] Hyperion (히페리온) - SHORT CUT - S16 & S21 (PNX1 S20)
C,Kasou Shinja - SHORT CUT - S20,1D507558-695A-4E9E-B68E-FE868EE0DF49,S20,1023,S20,1023,360,146,1023,https://youtu.be/uv28TOVcMiA,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,,[PUMP IT UP PHOENIX] Kasou Shinja(가장신자) - SHORT CUT - S20 (Phoenix Modified ver.)
C,Poseidon - SHORT CUT - S11,4E428056-5F37-488D-BD6C-71FDBF2939CA,S11,468,S11,468,198,30,468,https://youtu.be/qYaVIP8efzU,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,Left,,,[PUMP IT UP PHOENIX] Poseidon(포세이돈) - SHORT CUT - S11 & S14 (Phoenix Modified ver.)
C,Another Truth D21,02B0E539-C5F8-46B8-A189-C76DC3D04E72,D21,1021,D21,1021,348,161,1021,https://youtu.be/gK9UgKx0RRI,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Another Truth(또다른 진심) D21 (Phoenix Modified ver.)
C,Destination - SHORT CUT - D20,0AF4692C-DBCD-462E-BD5B-75061DD718D5,D20,803,D21,,278,123,803,https://youtu.be/cM9yZ08lF58,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D21,[PUMP IT UP PHOENIX] Destination - SHORT CUT - D21 (PNX1 D20)
C,Kasou Shinja - SHORT CUT - D21,78578492-2461-47E8-AFA1-89E00D622FDE,D21,1014,D21,1014,327,175,1014,https://youtu.be/wSipNldO6os,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,,[PUMP IT UP PHOENIX] Kasou Shinja(가장신자) - SHORT CUT - D21 (Phoenix Modified ver.)
C,Witch Doctor S19,EFEF6A92-0FA3-4748-92E8-0FD00ECC9BB2,S19,981,S19,981,372,1102,981,https://youtu.be/1juO2049sp8,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Witch Doctor(위치 닥터) S19 (Phoenix Modified ver.)
